URL,Website Summary,total_funding_crunchbase,employee_count_pdl,pdl_founded
evidentlyai.com,"Evidently is an open-source tool to help monitor, evaluate, and test machine learning models in production. It integrates with existing ML platforms to provide insight into model performance and data health, enabling users to detect drift and discover where models fail. Evidently also provides interactive reports, tutorials, guides, and a community to support its users.'",125000,2,2020
baselime.io,"Baselime is an observability platform for serverless applications, designed to make debugging easier and improve Mean Time To Recovery. The platform provides real-time alerts to detect bugs before users experience them, and helps investigate and troubleshoot quickly. It also offers observability as code, integrations with a wide range of tools and platforms, and pricing that aligns with business outcomes. The platform is trusted by developers worldwide.'",1969037,6,2021
vaxine.io,"ElectricSQL is a turnkey service that provides cloud sync for local-first applications, allowing users to develop apps with instant read/write capabilities and built-in offline support. Data is synced via the cloud and optionally with/into a Postgres database, allowing aggregation and query of data spread out across devices. ElectricSQL integrates with standard, open-source SQLite and Postgres drivers and frameworks. Features include realtime, low-latency active-active replication with reactivity, durability and integrity, enabling live queries with reactive components for realtime updates.",,1,2021
mnts.lt,"Mantas Vilčinskas is a Lithuanian multi-faceted creative and student of Political Science at the Vilnius University Institute of International Relations and Political Science. He runs a portfolio website for UI/UX/graphic design and web development, as well as a free educational resources website with over one million page views. He also has open source projects on GitHub, such as cState with more than 1k users, and a special media project called Oft Joy. Mantas is available for hire and can be contacted via email or social media.'",,1,2021
codeincommunity.tech,"\n\ +The CodeIN Community is a community of more than 10,000+ coding enthusiasts that organizes events, hackathons, and workshops on various emerging technologies and domains. Additionally, they provide guided roadmaps, 1:1 mentorship from mentors, resources to learn different technologies, and opportunities for internships and tech programs. Members can join the Discord server to interact with developers from all over India, follow their Telegram group, LinkedIn page, Twitter, YouTube channel, and GitHub repository. The CodeIN Community also provides benefits such as mentor's guide and support, workshops and meeting sessions, hackathons and internship opportunities, exposure to students and mentors around the world, and goodies to best performers and contributors.",,19,2021
lvgl.io,"LVGL is the most popular free and open-source embedded graphics library that enables developers to create beautiful UIs for any MCU, MPU and display type. Our drag and drop UI editor, SquareLine Studio, simplifies the development process while our services provide UI design, implementation and consulting services. LVGL is downloaded every minute from GitHub and has bindings to MicroPython, PikaScript, JavaScript (React-like) and Berry. Get started today!'",,1,2020
fly.dev,"Fly.io provides full-stack infrastructure and hosting services for web applications. Our physical servers are located in cities close to users, allowing apps to run with no ops required. We also offer purpose-built cloud hardware, PostgreSQL clusters, provisioning of CPU, memory, and storage on tap, private networking, SSL at any scale, and metrics and alerting. Our services are compatible with Phoenix Framework, Remix, Ruby on Rails, Docker, Go, Rust, Django, RedwoodJS, Crystal, Supabase, Tailscale, Fanatics, Cars.com, Apollo GraphQL, Glide, and Glitch.'",,,2022
organicmaps.app,"Organic Maps is a free Android & iOS offline maps app for travelers, tourists, hikers, and cyclists based on top of crowd-sourced OpenStreetMap data. It is a privacy-focused, open-source fork of Maps.me app (previously known as MapsWithMe). Organic Maps is one of a few applications nowadays that supports 100% of features without an active Internet connection. It respects user's privacy and saves the battery. Donations are accepted to support the project. It is an open-source software licensed under the Apache License 2.0.'",,,2021
packj.dev,"Packj Firewall is a security firewall that helps developers protect their open-source dependencies from modern supply-chain attacks like Solarwinds, PyTorch, and Log4J. It is powered by Packj Stars, which allows users to save time manually vetting code, ship secure code faster, and customize their threat model. It also offers features such as registry firewall, CI/CD integration, alerts on malicious dependencies, and more. Users can try the service for free or book a demo to get started.'",,,2020
infisical.com,"Infisical is a secure, end-to-end encrypted platform that provides an easy way to manage secrets and configs across teams, devices, and infrastructure. Using Infisical's pre-commit checks, developers can easily identify and prevent secret leaks to git. With 50+ integrations to sync secrets with CI/CD and production-level 3rd-party services, Infisical offers the most reliable and flexible solution for secure secrets management.'",500000,3,2022
tipi.build,"Tipi.build is an advanced platform for C/C++ developers to create and deploy applications with maximum efficiency. It combines smart dependency management and powerful ad-hoc cloud environments to support developers in their best work. Tipi.build offers tools, compilers and libraries provisioned in a blink, allowing developers to write their applications easily and quickly. The platform also allows developers to extend their machines with build instances sized right for native workloads from 2 to 128 cores with up to 2TB of RAM available on-demand. It also provides access to remote build environments that are preconfigured for Linux, Windows or MacOS. Moreover, the platform offers free demo sessions and open source community support.'",0,,2020
hyperbeam.dev,"Hyperbeam is a consumer application for browsing the web and watching videos together online. It offers virtual computer API, remote desktop, and mobile environments that can be embedded directly in web apps, with support for 1 to 10,000 active participants, synchronize audio and video, multi-user control, programmatic control, echo cancellation, WebGL support, session save states, access control, kiosk mode, raw audio & video data, mobile & touch support, and international servers. Hyperbeam offers 10,000 free minutes every month, with pay-as-you-go after that and volume discounts automatically applied. Get started now for free.'",0,,2022
efemarai.com,"Efemarai Continuum™ is a platform that enables ML teams to develop robust models by continuously testing for edge cases. Our platform provides extensive support for multiple verticals, such as healthcare, security, and identification and defence. We also support external environmental and indoor variability, transforming MRI scans, faces, and scenes with our advanced metamorphic engine. With Efemarai Continuum™, users can generate realistic and meaningful data, discover unseen edge cases, update models with confidence, and debug their model performance.'",,3,2020
giskard.ai,"Giskard is a European AI software company that provides the first collaborative and open-source software to ensure the quality of all AI models. Giskard's software enables users to eliminate risks of AI errors, privacy issues, biases, and other potential harms that come with AI adoption. With features such as ML Evaluation, ML Testing, and an Interactive Demo, Giskard helps businesses create models with ethical integrity and robustness while increasing efficiency and collaboration. The company is trusted by modern ML teams worldwide and has been listed by Gartner as a representative vendor in the ""Market Guide for AI Trust, Risk and Security Management"".'",1595813,2,2021
aviator.co,"The Hangar is a curated community of developer experience enthusiasts providing tools to automate tedious developer workflows, such as avoiding broken builds, managing stacked PRs, simplifying merge processes, and suppressing flaky tests. Aviator provides access to a world-class developer experience from writing, testing and reviewing code, to merging, building and deploying. Its suite of tools enables users to promote a culture of smaller PRs, stabilize flaky tests, or protect important branches from build failure, while supporting integrations with existing tool chains and providing high security and reliability.'",2300000,,2021
plasmo.com,"Plasmo is a cutting-edge web browser extension platform that helps build, test, and deploy powerful products. Plasmo is used by those at the forefront of innovation and provides resources such as documentation, engineering, and support. Established in 2023, its services are backed by their Terms of Service and Privacy Policy.'",,2,2022
memphis.dev,"Join Node.TLV 23’ to learn about schemas and GraphQL with Memphis.dev, an intelligent, frictionless message broker that enables ultra-fast development and 46x more efficiency than legacy message brokers. It can be deployed on any Kubernetes and Docker environments, and fully optimized for production from the get-go. Memphis also supports Schemaverse, a robust and easy-to-use schema enforcement, including live schema evolution, transformation, validation, and enforcement for data contracts. Plus, its Storage tiering offloads out-of-retention messages and Serverless stream enrichment uses cloud providers such as AWS Lambda. Join 3000+ developers to experience the powerful features of Memphis. Get started now!",,12,2022
zigi.ai,"Zigi is a productivity and efficiency application designed for developers working in teams within growing R&D departments. It automatically checks your Jira and GitHub activity, finds tasks and action items most relevant to you, and streamlines them straight to Slack. It provides full support for the PR process over multiple locations, time zones, and work weeks, helping manage your Jira and PR related issues, like correlating tickets and updating their statuses. It is trusted by developers all around the world, and provides personalized settings to adjust message frequency and customize notification type.'",,1,2020
umami.is,"Umami is an open source, privacy-focused alternative to Google Analytics that allows users to collect website analytics while respecting the privacy of their visitors. It does not collect any personal information, use cookies or track users across websites and is GDPR compliant. All data collected is anonymized and securely stored in the user's hands. Umami is easy to use and understand, collecting only the metrics that matter and fitting everything on a single page. It is also dedicated to open source development and community supported.'",1500000,,2022
cased.com,"Cased is an open source, enterprise-ready tool that provides quick and safe access to servers through SSH. It helps reduce mistakes, improve the on-call experience, and automate repetitive work. Cased also offers Single Sign On, multi-factor authentication, and automatically expiring short-lived SSH access for secure compliance and safety. It enables teams to share workflows, review commands before they run, and quickly respond to critical issues.'",2250000,5,2020
crowd.dev,"Crowd.dev is an open-source platform that provides insights into community, product, and customer data for open-source organizations to help prioritize accounts, uncover revenue opportunities, gain a full view of user journey, and gain insights from opinionated reports. It provides integrations with relevant community platforms, user enrichment, organization enrichment, analytics & reporting, automation & templates, and CRM sync. It helps to build sustainable & fast-growing businesses and enable developer communities to thrive.'",2192307,7,2021
knock.app,"Knock is a notification system built to enable developers to quickly and easily create powerful, cross-channel notifications. Our APIs provide the flexibility and scalability needed to engage users, manage notification preferences, and power workflows. Knock is SOC2 Type 2 certified, GDPR and HIPAA compliant, and enterprise-ready. Get started for free and send 10k notifications per month.'",,1,2021
lakera.ai,"Lakera AI Inc is a platform that provides AI engineers, scientists, and decision-makers with the tools they need to protect their models while deploying them with confidence. Our products enable teams to secure, test, and guard their LLMs, vision models, and more, all powered by the industry-leading database of attacks and failures. With our robustness testing suite, customers can ensure their models are ready for regulatory approval. We also provide insights to help developers stay up to date on upcoming AI regulations.'",,9,2021
symops.com,"This website is inaccessible and requires JavaScript to be enabled in order to view the page. It appears to be a venture capital related website, likely providing resources related to venture capital analysts and investments.'",,12,2020
dataplane.app,"Dataplane is a cloud native data platform providing users with tools to engineer the next generation of data systems. It offers features such as secure access to data resources, distributed computing, code development and testing capabilities, isolated environments, CRON and per second scheduling, and deployments with version control. Dataplane is written in Golang and React and is lightweight, providing users with exceptional performance, self-healing, resilience, scale, and security.'",,,2021
evidence.dev,"Evidence is an open source publishing tool for modern data teams. It enables data teams to build polished data products with just SQL and markdown, allowing users to express their viewpoint with metrics embedded in text and charts powered by their own data. Evidence Cloud provides secure hosting and refresh of projects, scheduled builds, access control, deployment on multiple platforms, and enhanced support. It sources data from a wide variety of databases, and allows users to create their own custom evidence.app URL. With Evidence, teams can create trusted reporting quickly and easily.'",125000,2,2021
touca.io,"Touca is an open source software that helps software engineers gain confidence in code changes with fast feedback and insights. It reduces the time taken to find and fix regressions from 23 days to minutes, by tracking millions of output values computed from thousands of input datasets. It allows users to remotely compare their software output against a previous baseline version and run regression tests easily with its CLI, Github Action plugins, and self-hosted test runners. Touca is trusted and backed by major companies and is licensed under Apache-2.0.'",120000,,2021
syntho.ai,"Syntho is the leading platform for AI generated synthetic data. Our self-service platform provides easy to use AI-generated synthetic data in just 3 steps. With our user-friendly platform, organizations can generate faster and higher quality software solutions with AI generated synthetic test data and build a strong data foundation with easy and fast access to as-good-as-real AI generated synthetic data. Syntho's synthetic data twins are approved by the data experts at SAS and have won the Philips Innovation Award. Our platform also features extended value adding features such as PII column scanner, PII identification & obfuscation in open texts, new mockers, new connectors, subsetting, and workspace sharing. Contact us to learn more about Synthetic Data Real Impact.'",0,4,2020
octolis.com,"Octolis is a data infrastructure platform that unifies, structures, prepares, and shares data in real-time to business tools, BI solutions, and first-party applications. Our team of data experts helps customers build and scale reliable data infrastructures for analytics and operations. Octolis enables customers to deliver actionable data anywhere with easy-to-use connectors, flat data exports, direct database access, and API-fied datasets. With our platform, customers can turn data management into a competitive advantage.",,6,2020
agilerl.com,"RLOps is an upcoming platform that provides streamlined reinforcement learning for easier and faster development. Our open-source training framework on GitHub enables fast hyperparameter optimization, with a simple UI for quick setup and ultimate control and flexibility for all reinforcement learning use cases. With cutting edge algorithms, our platform allows users to train faster and deploy easy and flexible continuous improvement and monitor in real-time deep analysis with custom dashboards.'",,1,2023
getcharteditor.com,"Chart Editor, Inc. is a cloud-based platform that enables users to easily deploy high-performing machine learning models into their own cloud accounts. Request access today for access to the latest ML tools and services.'",500000,,2022
eleuther.ai,"EleutherAI is an open-source artificial intelligence research organization dedicated to enabling cutting edge research in language modeling, interpretability, alignment, and other modalities. Our research projects include Interpreting Across Time, Eliciting Latent Knowledge, Datasets, Training LLMs, Evaluating LLMs, Alignment MineTest, Text-to-Image Synthesis, Mesaoptimization, Improved T5, Polyglot, Aesthetic Models, and more. We have recently released several LLMs and publications on arXiv.'",,,2020
synnada.ai,"Synnada is a platform that helps build interactive, collaborative, intelligent, and real-time data applications for mission-critical systems with ease. Powered by SQL and online machine learning, the Synnada platform seamlessly integrates with the modern data stack, allowing users to craft tailor-made solutions using query blocks and utility blocks, while providing built-in observability of health and performance metrics. The platform also enables users to utilize ML models, frameworks, and UDFs directly through SQL, easily incorporate agile methodologies into their data engineering workflows, generate and detect forecasts and anomalies in real-time, and enjoy effortless online forecasting. Furthermore, Synnada provides on-demand scaling, versioning for data workloads, monitored auto-trained models, and a secure environment.",2600000,4,2021
bigtimedata.io,"Big Time Data is a service provider that helps businesses make data-driven decisions to improve customer experience, build scalable business foundations, and increase efficiency. We provide self-service analytics framework, customer data platform, go-to-market automation, and BizOps architecture tools and services to enable customers to access and analyze decentralized datasets and gain insights from them.'",,,2021
blendnow.com,"Blend Seller Academy offers entrepreneurs the ability to create stunning product photos, remove background from photos, and resize images with one click for a variety of different platforms. With 500+ templates and 100+ fonts and backdrops, Blend provides entrepreneurs with the tools they need to grow sales and stand out online.",0,6,2021
ramatak.com,"Ramatak Inc. is a public benefit company founded by Godot engine veterans Ariel Manzur and Hein-Pieter van Braam. Our mission is to make Godot the leading choice for creating, deploying, and monetizing mobile games on iOS and Android. We are currently recruiting engineers in fields such as Godot engine contributors (Mobile), rendering experts (GL, Vulkan, and/or Metal), iOS native code experts (C++/Objective C/swift), and Android native code experts (C++ / Java). If interested, please send a resume to jobs@ramatak.com.'",,1,2022
turntable.so,"Turntable is a revolutionary collaborative platform designed for data teams. It provides an AI copilot to make coding recommendations, enables teams to query and explore data inline, and allows them to collaborate in real time with the added benefit of viewing end-to-end lineage and documentation in one place. Turntable is backed by industry experts and is currently available on a waitlist. Sign up today to get early access and support.'",500000,,2022
carbominer.com,"Carbominer is a Ukrainian hardware startup that has developed a new modular Direct Air Capture (DAC) technology designed for local CO2 capture near place of use. Our technology relies on a mix of dry and wet CO2 capture approaches, utilizing ion-exchange sorbent on the capture stage and electrochemistry-based regeneration on the CO2 release stage. We offer locally captured fossil-free carbon dioxide cheaper than any other CO2 of DAC origin and are focused on the growing market of indoor agriculture, providing CO2 injections to promote plant growth. We are looking for partners to pilot test our DAC capturing units and build a successful case together.'",953062,6,2020
qubridge.io,"Quantum Bridge is the industry’s first symmetric key distribution technology that delivers future-proofed security at scale without the use of any asymmetric key cryptography. Their Distributed Symmetric Key Exchange (DSKE) solution provides perfect secrecy and scalability, with the ability to seamlessly integrate into existing operations, infrastructure, and encryption algorithms. Contact Quantum Bridge today to learn more about their products and solutions.'",659467,10,2020
molydyn.com,"Molydyn is an innovative company focused on revolutionizing materials discovery through molecular modelling. Our mission is to provide modellers with efficient tools to simplify and accelerate their LAMMPS workflows, allowing them to focus on creating materials of the future. We are working to streamline the R&D process for all of our customers, ranging from small groups to large industry players. Our team is dedicated to improving the molecular dynamics workflow for everyone, through making open-source tools like LAMMPS more accessible.'",,,2022
pooldata.io,"Pocket is a revolutionary new platform that transforms the data economy for people and businesses. By signing in with Pocket, users can pay directly from their bank and also share their data with the brands they trust. Pocket offers users exclusive access to products, rewards, deals, and offers in exchange for their data. Publishers and e-commerce platforms can leverage Pocket to monetize audiences, activate personalization, and access deep analytics with true user consent.'",,,2021
randaemon.com,"RANDAEMON is a venture developing Quantum Random Number Generators (QRNG) that are hardware-based and integrated into System-on-Chip. The solution is centered around beta decay as a source of entropy and can produce perfect random numbers of various streams of bits per second. The QRNGs are designed to provide quantum-unbreakable encryption for internet devices, banking and shopping, blockchain security, and quantum networks. RANDAEMON is led by a team of seasoned executives and scientists with a substantial portfolio of patents and collaborations. '",,,2020
quasara.io,"Quasara is a Munich-based startup on a mission to expedite the adoption of Computer Vision and NLP-powered products that change the world. We provide a Semantic Search Engine for raw, unlabeled image and video data to help understand and improve image datasets in minutes instead of weeks. This semantic understanding is used for exploratory data analytics on data distribution, data redundancies, outliers, and potential for enrichment or augmentation on a dataset level. Our engine helps reduce and refine datasets and improve data distribution for labeling, annotation, model training, and online learning.'",,,2022
antennex.tech,"ANTENNEX is an innovative antenna measurement company that offers instruments from an antenna perspective, making antenna measurements simpler, more intuitive, and user-friendly. The company provides a millimeter-wave antenna analyzer (MAAX) as an over-the-air connector, allowing customers to test their system metrics wirelessly at mm-wave frequencies and gain insights into device performance. ANTENNEX also offers an API to automate testing and fast mode for accelerated testing. The team of experts provides support and guidance through the measurement process.",,7,2020
anari.ai,"Anari AI is a software company providing cutting-edge solutions utilizing advanced cloud and hardware tech for superior vector search performance in data-heavy applications. Our distinctive platform accelerates vector search with FPGA, helping clients gain insights rapidly, boosting agility and competitiveness. We offer an unmatched platform for swift, scalable vector search, transforming business data analysis and enabling highly efficient, customizable processing beyond traditional software limitations.'",2000000,19,2020
composite.vision,composite vision software allows processing non-destructive evaluation (nde) data reliable & fast with the use of automated ai-backed algorithms.,,,2020
mission.space,"with a unique approach to earth observation, at mission.space, we design progressive iot network solutions that help our clients track, monitor, and manage their assets. our orbiting satellites provide global coverage for businesses where overseeing and analyzing data is an essential part of their operations.",631168,3,2020
bitteiler.com,a plug-and-play software that compresses & codes your iot data. our technology already achieves sensor data compression up to 90% without loss or degradation of information,,,2021
wavephotonics.com,wave photonics is taking a computational approach to integrated photonics design. we are building a platform providing optimised designs and streamlined integration between the supply chain.,0,2,2021
graphica.bio,"at biographica, we're building a computational platform to accelerate gene discovery in agriculture.",,,2022
heatrix.de,"our mission is to competitively replace fossil fuels in energy-intensive industries by converting renewable electricity into storable, high-temperature process heat.",,,2021
genevation.co.uk,"cancer is a fatal disease globally where cells continue to grow and divide in an uncontrollable manner. around 9.6 million people died worldwide due to cancer in 2018. each patient's cancer is unique at the genetic level, every person's cancer is different and needs to be treated differently. our mission at genevation ltd is to treat every individual cancer patient with mrna vaccine. we will be developing personalized cancer therapy, which works by using information of a person's cancer. we will then use this information to develop a mrna vaccine which will either kill the cancer cells or inhibit the growth of the cancer cells. this mode of treatment is safe and non-toxic and will help the individual to survive and live a healthy life.",,,2022
lymbic.ai,lymbic ai aims to accelerate the adoption of brain-computer-interfaces by introducing an ecosystem of algorithms and neuro-applications to benefit our daily lives. lymbic’s holistic ai framework will decode captured brain signals from neural devices — wearables like headphones with integrated electrical sensors (eeg) — in real-time.,,1,2021
unicornmobility.com,"an hassle-free micromobility service for the communities of tomorrow. 
by partnering with hotels, residential compounds and corporate campuses through its flexible solution, unicorn mobility delivers software-enhanced mobility experiences to the end users.",,,2021
zincsearch.com,"zinc labs offers zero ops, 10x easier, 10x cheaper, petabyte scale - open source observability platform for cloud native world. if you are using elasticsearch or splunk, you should give zinc observe a try. zinc observe can offer up to 140x cheaper storage.",,4,2022
cainmann.com,"cain & mann provides executive search and recruitment services to top-tier private and public companies throughout europe and apac. our clients recognize the importance of finding outstanding individuals, and we work closely with them to get results. we specialize in finding talented professionals who can bring highly impactful results to their new teams. no matter the experience requirements of the role, we match our clients with professionals whose skill-sets exceed our clients’ expectations professionally and culturally

our main areas of expertise:
• private equity & venture capital
• investment banking
• m&a and strategy consulting
• corporate finance, audit
• business development and investor relations
• it
• compliance & aml
• trading",,1,2021
efraudservices.com,"�� what our financial fraud investigation software does:

⬛️ exposes fraudulent activity
⬛️ reveals unusual financial transactions
⬛️ uncovers unusual or unexpected patterns of behavior
in summary, our solutions save time, money and increase accuracy when compared with manual examination or less robust products

�� how this process works:

using our unique, proprietary software, i walk you through the following steps:

1. use the powerful ocr engine to convert any bank statement into an easy-to-use spreadsheet.
2. put all bank statements into a common format to make analysis a breeze.
3. uncover suspicious transactions, follow the money through inter-account transfers, find patterns in the data, and much more!

⬛️ who i work with:

any firm or agency that investigates financial and non-financial statements, including forensic accountants, bankruptcy & divorce attorneys, litigators & valuation specialists, healthcare insurance companies, federal, state, county & city law enforcement agent",,,2020
kapvistaventures.com,"kapvista ventures is an index venture capital fund located in sydney, australia, with a global outreach and early stage focus.

kvv was born out of the necessity to bridge the gaps between angel, seed and growth capital. raising capital in the early-stage can be the most challenging part of a company’s lifecycle, yet exceptional founders always find a way and we want to back them.

as early stage investment is severely under-serviced, kvv open doors to accelerate growth and drive international expansion, with a ongoing commitment to support business founders at every step of the way.

finding the right growth partner in the early stage is pivotal, and we want to be there for exceptional founders to compliment their skills and empower them in sustained growth.",,2,2020
anaqor.io,"we are anaqor, a new venture of stoneone ag, founded to enable organizations of all sizes to leverage quantum computing through the planqk platform and our expertise. #frictionlessquantum

planqk raises quantum code snippets to actual products, which we call quantum services. by making quantum services easily available, a critical gap in the quantum value chain is closed. planqk connects industrial users, quantum developers, researchers and quantum hardware providers with a platform to integrate, deploy, advance and monetize quantum services. we have developed and are constantly improving planqk with ranking universities and companies leading the application of quantum computers as part of a lighthouse research project supported by the german federal government.",,3,2021
bubichildren.com,"bubi children is a multi-brand shop presenting high quality children’s wear & accessories. sustainable fabrics excellence, great craftsmanship and the best customer service.

the creators of bubi children are first and foremost loving parents. they brought all their love and adoration to their baby, and knowledge and expertise in the fashion industry to the concept of the shop. the quality is their world. the comfort and health of children is a must. their mission is making every child happy.

they believe children's wear is not just beautiful design. this is care and choice of the best for loved ones every day. that’s why they collaborate with exclusive brands that are in constant search of product excellence, convey these values and show what really matters.",,,2020
helmkit.com,helmkit,,,2022
dyrector.io,"make release management on the cloud seamless with dyrector.io, the devops tool of tomorrow.

here's why developers love dyrector.io, the tool that reduces deployment to a few clicks:
• non-technical staff members (for example, project managers) can manage and monitor deployments
• devs get more time to develop instead of wasting time on mundane steps of deployment
• companies can reduce the costs of deployment

for now, only the demo version is available. reach out to us to request a demo at the link below.",,5,2020
bytemine.io,"bytemine unlocks algorithmic trading for regular retail day traders by providing an intuitive graphical user interface with drag and drop technology to easily create, test and deploy advanced algorithmic trading strategies without the need for any code whatsoever.",,1,2021
voxprosoftware.com,"founded in 2021, voxpro connects candidates, recruitment consultants and companies together. providing job search, application tracking, document, onboarding management and ir35, providing a diverse range of features to ensure visibility and control across the entire recruitment lifecycle for all.

powerful candidate features, allowing the tracking of job applications and stages, control of how and when their data is sync into salesforce and finally a new search for finding the best recruiter suited to their needs.",,2,2021
freecad.org,"the freecad project association (fpa) is an international non-profit association created by freecad administrators and core developers in november 2021 and seated in belgium. its goal is to support and protect the freecad project.

the freecad project association is composed of ordinary members, who form the general assembly, and an administrative body, formed by the chairperson plus any number of other members elected to it. meetings and votes of the members happen on a dedicated section of the freecad forum.

all members can be contacted individually by sending them a private message on the freecad forum. the contact link to each member can be found on the association members list. the administration board can also be contacted via the fpa@freecad.org email address.",,,2021
personarise.com,"we're increasing access to learning resources and helping individuals advance their careers while building a quality workforce that makes companies succeed.

we provide learning paths to help people grow their skills at all levels - beginner, intermediate, and expert.",,1,2021
hydra.so,"hydra is an alternative to snowflake that’s fast, simple to use, and open source. hydra extends the popular postgres open-source database into a real-time data warehouse for engineers. 

by building around postgres, hydra enables developers to scale their company’s analytics with familiar postgres tooling and existing know-how. industry benchmarks show hydra is the fastest postgres database for analytics. with columnar storage and parallelized query execution, hydra speeds through even the toughest analytics tasks.",,,2021
sel4.systems,"the sel4 foundation is a non-profit organisation supporting the open-source sel4 microkernel and its ecosystem. the sel4 microkernel is the world's first general-purpose operating-system kernel with a formal, machine-checked proof of implementation correctness, originally on arm, now also on x86 and risc-v processors.
sel4 is still the only formally-verified operating system with fine-grained, capability-based access control, it has proofs of security enforcement, and besides all this is the world's fastest microkernel.",,1,2020
resoto.com,"some engineering builds open source software. our flagship project is resoto—find leaky resources, manage quota limits, detect drift, and �� clean up ��!

it's the stuff that no engineer wants to deal with. ����

the �� cleanup �� part is kind of a big deal. because usually, that means hand-jamming resources with shell scripts or in your cloud console. 

we automate that away. gone. forever. ��

how?

in a new way that's different from existing approaches. 

your cloud infrastructure is really a graph, with lots of dependencies. so why is it then that all the cloud tools out there give you are ""rows & columns"" view of of your resources?

resoto is different. 

resoto indexes resources, captures dependencies, and maps out your infrastructure in a graph so that it’s understandable for a human being. 

the graph contains attributes for each resource. developers and sres can search the graph with a query language, and create alerting and clean-up workflows. the cleanup workflows run on a schedule",,4,2021
